TF name,#Gain,#Loss,Percent_gain,Percent_loss,FC,log2FC,abs(log2FC),percent,penalized_log2FC,odds_ratio,fisher_p_value,fisher_adj_pvalue,chi2_p_value,chi2_adj_pvalue
HMGB3,16578,729,3.115421694,0.136997371,22.74074074,4.507207343,4.507207343,3.252419065,14.65932709,22.74074074074074,0.0,0.0,0.0,0.0
POU3F2,29796,7016,5.599415177,1.318482242,4.24686431,2.086398014,2.086398014,6.917897419,14.43348744,4.246864310148233,0.0,0.0,0.0,0.0
TWIST2,26439,4833,4.968550741,0.908241829,5.470515208,2.451676711,2.451676711,5.87679257,14.40799548,5.470515207945375,0.0,0.0,0.0,0.0
POU3F4,20082,1819,3.773911115,0.34183569,11.04013194,3.464685509,3.464685509,4.115746805,14.25976831,11.040131940626718,0.0,0.0,0.0,0.0
TBX2,28653,6478,5.38461683,1.217378558,4.423124421,2.145065825,2.145065825,6.601995388,14.16171469,4.423124421117629,0.0,0.0,0.0,0.0
DBX2,23359,3400,4.389741547,0.638945214,6.870294118,2.780371862,2.780371862,5.028686761,13.98161917,6.870294117647059,0.0,0.0,0.0,0.0
NKX1-1,32417,9506,6.091966767,1.786415649,3.410162003,1.769840277,1.769840277,7.878382416,13.94347852,3.410162002945508,0.0,0.0,0.0,0.0
ISX,41755,17631,7.846811006,3.313306786,2.368271794,1.243834661,1.243834661,11.16011779,13.88134133,2.368271793999206,0.0,0.0,0.0,0.0
MYC-MAX,32669,9796,6.139323883,1.840913917,3.334932626,1.737657615,1.737657615,7.9802378,13.86692099,3.3349326255614535,0.0,0.0,0.0,0.0
HHEX,37240,14222,6.998329346,2.672670246,2.618478414,1.388728712,1.388728712,9.670999592,13.4303948,2.6184784137252146,0.0,0.0,0.0,0.0
LBX1,26330,6363,4.948066909,1.195767176,4.137985227,2.048928495,2.048928495,6.143834085,12.58827672,4.137985227094138,0.0,0.0,0.0,0.0
TBX5,29555,9096,5.554125237,1.709366373,3.249230431,1.700098061,1.700098061,7.26349161,12.348648,3.2492304309586633,0.0,0.0,0.0,0.0
OTP,33264,12246,6.251139296,2.301330322,2.716315532,1.441651075,1.441651075,8.552469617,12.32967702,2.716315531602156,0.0,0.0,0.0,0.0
MYPOP,14288,703,2.6850733,0.132111319,20.32432432,4.345135486,4.345135486,2.817184619,12.24104886,20.324324324324323,0.0,0.0,0.0,0.0
