TF name,#Gain,#Loss,Percent_gain,Percent_loss,FC,log2FC,abs(log2FC),percent,penalized_log2FC
GCM1,14688,6826,2.760243325,1.28277648,2.151772634,1.105525644,1.105525644,4.043019805,4.469662075
HESX1,15848,7926,2.978236398,1.489494049,1.999495332,0.999635913,0.999635913,4.467730448,4.466103805
NAIF1,7070,912,1.328630195,0.171387657,7.752192982,2.954604486,2.954604486,1.500017853,4.431959477
MITF,9740,2636,1.830390114,0.495370466,3.694992413,1.885571402,1.885571402,2.32576058,4.385387637
DBX1,4667,168,0.877046269,0.031571411,27.7797619,4.795962329,4.795962329,0.90861768,4.357696163
ATF3,19395,11862,3.644806597,2.229167097,1.635053111,0.709337499,0.709337499,5.873973694,4.166629809
CRX,30914,23285,5.809515398,4.375835092,1.327635817,0.408859456,0.408859456,10.18535049,4.164376862
ARID3B,6357,806,1.194639626,0.151467601,7.887096774,2.979494345,2.979494345,1.346107226,4.010718868
HOXB7,4918,383,0.92421546,0.071975299,12.84073107,3.682655438,3.682655438,0.996190759,3.668627315
ESR1,17253,11178,3.242271112,2.100626354,1.543478261,0.626185163,0.626185163,5.342897466,3.345643123
FOXN1,6745,1609,1.26755455,0.302371426,4.192044748,2.067654117,2.067654117,1.569925976,3.246063908
DNAJC21,4576,460,0.859945088,0.086445529,9.947826087,3.314381286,3.314381286,0.946390617,3.136699351
SCRT2,3649,193,0.685738555,0.036269537,18.90673575,4.240828398,4.240828398,0.722008092,3.061912421
POU5F1,3415,145,0.64176409,0.027249134,23.55172414,4.557760773,4.557760773,0.669013224,3.04920223
POU6F1,6175,1485,1.160437264,0.279068719,4.158249158,2.055976206,2.055976206,1.439505983,2.959590048
MLXIP,4265,429,0.801500394,0.080619852,9.941724942,3.313496189,3.313496189,0.882120246,2.922902072
HLF,2763,61,0.519236949,0.011463429,45.29508197,5.501282509,5.501282509,0.530700378,2.919532707
XBP1,5201,898,0.977398253,0.168756707,5.791759465,2.534001688,2.534001688,1.146154959,2.904358601
ST18,15397,10208,2.893482195,1.918339043,1.508326803,0.592949045,0.592949045,4.811821238,2.853164807
